hotel_name,hotel_address,hotel_city,hotel_state,hotel_zipcode,hotel_phone
staystudio6 SANTA BARBARA - STATE STREET,3505 STATE ST,SANTA BARBARA,CA,93105,8056875400
staystudio6 SANTA BARBARA - BEACH,443 CORONA DEL MAR,SANTA BARBARA,CA,93103,8055641392
staystudio6 MORRO BAY,298 ATASCADERO RD,MORRO BAY,CA,93442,8059799808
staystudio6 MONTEREY,2124 N FREMONT ST,MONTEREY,CA,93940,8316468585
staystudio6 FRESNO - BLACKSTONE NORTH,4245 N BLACKSTONE AVE,FRESNO,CA,93726,5592210800
staystudio6 PALM SPRINGS EAST - EAST PALM CANYON,595 E PALM CANYON DR,PALM SPRINGS,CA,92264,7603256129
staystudio6 LOS ANGELES - ARCADIA - PASADENA AREA,225 COLORADO PL,ARCADIA,CA,91007,6264462660
staystudio6 SACRAMENTO DOWNTOWN,1415 30TH ST,SACRAMENTO,CA,95816,9164570777
staystudio6 SAN DIEGO HOTEL CIRCLE - MISSION VALLEY,2424 HOTEL CIRCLE N,SAN DIEGO,CA,92108,6192961612
staystudio6 SALT LAKE CITY DOWNTOWN,176 W 600 S,SALT LAKE CITY,UT,84101,8015311252
staystudio6 SANTA ROSA SOUTH CA,2760 CLEVELAND AVE,SANTA ROSA,CA,95403,7075461500
staystudio6 RENO - VIRGINIA PLUMB,1901 S VIRGINIA ST,RENO,NV,89502,7758270255
staystudio6 PHOENIX EAST,5315 E VAN BUREN ST,PHOENIX,AZ,85008,6022678555
staystudio6 WALNUT CREEK,2389 N MAIN ST,WALNUT CREEK,CA,94596,9259354010
staystudio6 SUNNYVALE SOUTH,806 WEST AHWANEE AVE,SUNNYVALE,CA,94085,4087201222
staystudio6 LOS ANGELES - EL MONTE,3429 PECK RD,EL MONTE,CA,91731,6264486660
staystudio6 PHOENIX SUN CITY - YOUNGTOWN,11133 GRAND AVE,YOUNGTOWN,AZ,85363,6239771318
staystudio6 GILROY,6110 MONTEREY ROAD,GILROY,CA,95020,4088426061
staystudio6 SANTA BARBARA - GOLETA,5897 CALLE REAL,GOLETA,CA,93117,8059643596
staystudio6 SCOTTSDALE,6848 E CAMELBACK RD,SCOTTSDALE,AZ,85251,4809462280
staystudio6 DENVER - LAKEWOOD,480 WADSWORTH BLVD,LAKEWOOD,CO,80226,3032324924
staystudio6 COLORADO SPRINGS,3228 N CHESTNUT ST,COLORADO SPRINGS,CO,80907,7195205400
staystudio6 EVERETT NORTH,10006 EVERGREEN WAY,EVERETT,WA,98204,4253472060
staystudio6 EUGENE SOUTH - SPRINGFIELD,3690 GLENWOOD DR,EUGENE,OR,97403,5416872395
staystudio6 BELLINGHAM,3701 BYRON AVENUE,BELLINGHAM,WA,98225,3606714494
staystudio6 PORTLAND SOUTH - LAKE OSWEGO - TIGARD,17950 SW MCEWAN RD,TIGARD,OR,97224,5036202066
staystudio6 CAMARILLO,1641 E DAILY DR,CAMARILLO,CA,93010,8053883467
staystudio6 FT LAUDERDALE,1801 SR 84 WEST,FT LAUDERDALE,FL,33315,9547607999
staystudio6 IDAHO FALLS,1448 W BROADWAY ST,IDAHO FALLS,ID,83402,2085220112
staystudio6 UKIAH,1208 S STATE ST,UKIAH,CA,95482,7074685404
staystudio6 BUELLTON - SOLVANG AREA,333 MCMURRAY RD,BUELLTON,CA,93427,8056887797
staystudio6 LAS VEGAS - TROPICANA,195 E TROPICANA AVE,LAS VEGAS,NV,89109,7027980728
staystudio6 PORTLAND CENTRAL,3104-06 SE POWELL BLVD,PORTLAND,OR,97202,5032380600
staystudio6 COCOA BEACH,3701 N ATLANTIC AVE,COCOA BEACH,FL,32931,3217833103
staystudio6 NOGALES,141 W MARIPOSA RD,NOGALES,AZ,85621,5202812951
staystudio6 TUMWATER - OLYMPIA,400 LEE ST SW,TUMWATER,WA,98501,3607547320
staystudio6 ABILENE,4951 W STAMFORD ST,ABILENE,TX,79603,3256728462
staystudio6 MEDFORD SOUTH,950 ALBA DR,MEDFORD,OR,97504,5417734290
staystudio6 TACOMA - FIFE,5201 20TH ST E,FIFE,WA,98424,2539221270
staystudio6 REDDING CENTRAL,1640 HILLTOP DR,REDDING,CA,96002,5302211800
staystudio6 SAN YSIDRO - SAN DIEGO - BORDER,160 E CALLE PRIMERA,SAN YSIDRO,CA,92173,6196906663
staystudio6 BOISE - AIRPORT,2323 AIRPORT WAY,BOISE,ID,83705,2083443506
staystudio6 SAN JOSE SOUTH,2560 FONTAINE RD,SAN JOSE,CA,95121,4082703131
staystudio6 PALM DESERT - PALM SPRINGS AREA,78100 VARNER RD,PALM DESERT,CA,92211,7603450550
staystudio6 CHICO,665 MANZANITA CT,CHICO,CA,95926,5303455500
staystudio6 OGDEN,1455 WASHINGTON BLVD,OGDEN,UT,84404,8016274560
staystudio6 AUSTIN SOUTH - AIRPORT,2707 INTERREGIONAL HWY S,AUSTIN,TX,78741,5124445882
staystudio6 NORTH PLATTE,1520 S JEFFERS ST,NORTH PLATTE,NE,69101,3085346200
staystudio6 SAN LUIS OBISPO NORTH,1433 CALLE JOAQUIN,SAN LUIS OBISPO,CA,93405,8055499595
staystudio6 LAREDO SOUTH,5310 SAN BERNARDO AVE,LAREDO,TX,78041,9567258187
staystudio6 WESTMINSTER SOUTH - LONG BEACH AREA,6266 WESTMINSTER BLVD,WESTMINSTER,CA,92683,7148915366
staystudio6 SANTA FE,3007 CERRILLOS RD,SANTA FE,NM,87507,5054731380
staystudio6 PRESCOTT,1111 E SHELDON STREET,PRESCOTT,AZ,86301,9287760160
staystudio6 SIMI VALLEY,2566 N ERRINGER RD,SIMI VALLEY,CA,93065,8055263533
staystudio6 BISMARCK,2433 STATE ST,BISMARCK,ND,58503,7012556878
staystudio6 BILLINGS - SOUTH,5400 MIDLAND RD,BILLINGS,MT,59102,4062520093
staystudio6 CHARLESTON SOUTH SC,2058 SAVANNAH HWY,CHARLESTON,SC,29407,8435565144
staystudio6 SALT LAKE CITY WEST - AIRPORT,1990 WEST NORTH TEMPLE,SALT LAKE CITY,UT,84116,8013641053
staystudio6 LOS ANGELES - ROSEMEAD,1001 SAN GABRIEL BLVD,ROSEMEAD,CA,91770,6265726076
staystudio6 WOODLAND - SACRAMENTO AREA,1564 E MAIN ST,WOODLAND,CA,95776,5306666777
staystudio6 RENO WEST,1400 STARDUST ST,RENO,NV,89503,7757477390
staystudio6 OWENSBORO,4585 FREDERICA ST,OWENSBORO,KY,42301,2706868606
staystudio6 MCALLEN,700 W EXPRESSWAY 83,MCALLEN,TX,78501,9566873700
staystudio6 Ventura Beach,2145 E HARBOR BLVD,VENTURA,CA,93001,8056435100
staystudio6 KLAMATH FALLS,5136 S 6TH ST,KLAMATH FALLS,OR,97603,5418842110
staystudio6 CORPUS CHRISTI NORTHWEST,845 LANTANA ST,CORPUS CHRISTI,TX,78408,3612899397
staystudio6 VACAVILLE,107 LAWRENCE DR,VACAVILLE,CA,95687,7074475550
staystudio6 SAN BERNARDINO SOUTH,111 W REDLANDS BLVD,SAN BERNARDINO,CA,92408,9098256666
staystudio6 SOUTH LAKE TAHOE,2375 LAKE TAHOE BLVD,SOUTH LAKE TAHOE,CA,96150,5305421400
staystudio6 FONTANA,10195 SIERRA AVE,FONTANA,CA,92335,9098238686
staystudio6 STANTON,7450 KATELLA AVE,STANTON,CA,90680,7148910717
staystudio6 LOS ANGELES - WHITTIER,8221 S PIONEER BLVD,WHITTIER,CA,90606,5626929101
staystudio6 GRANTS PASS,1800 NE. 7TH ST,GRANTS PASS,OR,97526,5414741331
staystudio6 ARCATA - HUMBOLDT UNIVERSITY,4755 VALLEY WEST BLVD,ARCATA,CA,95521,7078227061
staystudio6 BAKERSFIELD SOUTH,2727 WHITE LN,BAKERSFIELD,CA,93304,6618342828
staystudio6 SANTA CLARA,3208 EL CAMINO REAL,SANTA CLARA,CA,95051,4082410200
staystudio6 TULARE,1111 N BLACKSTONE DR,TULARE,CA,93274,5596861611
staystudio6 PISMO BEACH,860 4TH ST,PISMO BEACH,CA,93449,8059799809
staystudio6 COEUR D'ALENE,610 WEST APPLEWAY AVE,COEUR D'ALENE,ID,83814,2086646600
staystudio6 MAMMOTH LAKES,3372 MAIN ST PO BOX 1260,MAMMOTH LAKES,CA,93546,7609046991
staystudio6 TRACY,3810 N TRACY BLVD,TRACY,CA,95304,2098364900
staystudio6 PORTERVILLE,935 W MORTON AVE,PORTERVILLE,CA,93257,5597817600
staystudio6 DAVIS - SACRAMENTO AREA,4835 CHILES RD,DAVIS,CA,95616,5307533777
staystudio6 TURLOCK,250 S WALNUT AVE,TURLOCK,CA,95380,2096674100
staystudio6 KALISPELL,1540 US 93 S,KALISPELL,MT,59901,4069523206
staystudio6 CHEYENNE,1735 WESTLAND RD,CHEYENNE,WY,82001,3076356806
staystudio6 PALMDALE,407 W PALMDALE BLVD,PALMDALE,CA,93551,6612720660
staystudio6 FORT COLLINS,3900 E MULBERRY ST,FORT COLLINS,CO,80524,9704826466
staystudio6 SANTA NELLA - LOS BANOS - INTERSTATE 5,12733 SOUTH HWY 33,SANTA NELLA VILLAGE,CA,95322,2092214122
staystudio6 SEATTLE EAST - ISSAQUAH,1885 15TH PLACE NW,ISSAQUAH,WA,98027,4253928405
staystudio6 LUBBOCK,909 66TH ST,LUBBOCK,TX,79412,8067455541
staystudio6 FLAGSTAFF - BUTLER AVENUE,2010 E BUTLER AVE,FLAGSTAFF,AZ,86004,9287741801
staystudio6 DENVER - AIRPORT,12020 E 39TH AVE,DENVER,CO,80239,3033711980
staystudio6 INDIO - PALM SPRINGS AREA,82195 INDIO BLVD,INDIO,CA,92201,7603426311
staystudio6 PUEBLO - I-25,4103 N ELIZABETH ST,PUEBLO,CO,81008,7195436221
staystudio6 JACKSON WY,600 S HWY 89,JACKSON,WY,83001,3077331620
staystudio6 FT STOCKTON,3001 W DICKINSON BLVD,FT STOCKTON,TX,79735,4323369737
staystudio6 TWIN FALLS,1472 BLUE LAKES BLVD N,TWIN FALLS,ID,83301,2087343993
staystudio6 HUNTSVILLE TX,122 I-45,HUNTSVILLE,TX,77340,9362916927
staystudio6 GALVESTON,7404 AVENUE J,GALVESTON,TX,77554,4097403794
staystudio6 PHOENIX NORTH BELL ROAD,2330 W BELL RD,PHOENIX,AZ,85023,6029932353
staystudio6 SANTA BARBARA - CARPINTERIA NORTH,4200 VIA REAL,CARPINTERIA,CA,93013,8056846921
staystudio6 BROWNSVILLE,2255 NORTH EXPRESSWAY,BROWNSVILLE,TX,78520,9565464699
staystudio6 PENDLETON,325 SE NYE AVE,PENDLETON,OR,97801,5412763160
staystudio6 ATASCADERO,9400 EL CAMINO REAL,ATASCADERO,CA,93422,8054666701
staystudio6 RAPID CITY,620 LATROBE AVE,RAPID CITY,SD,57701,6052210166
staystudio6 AUSTIN NORTH,9420 I-35 N,AUSTIN,TX,78753,5123396161
staystudio6 COLLEGE STATION - BRYAN,2327 TEXAS AVE S,COLLEGE STATION,TX,77840,9796963379
staystudio6 VENICE FL,281 US 41 BYPASS NORTH,VENICE,FL,34285,9414858255
staystudio6 BIG BEAR,42899 BIG BEAR BLVD,BIG BEAR LAKE,CA,92315,9095856666
staystudio6 POMPANO BEACH,1201 NW 31ST AVE,POMPANO BEACH,FL,33069,9549778011
staystudio6 DANIA BEACH,825 E DANIA BEACH BLVD,DANIA BEACH,FL,33004,9549215505
staystudio6 MESA NORTH,336 W HAMPTON AVE,MESA,AZ,85210,4808448899
staystudio6 CENTRALIA,1310 BELMONT AVE,CENTRALIA,WA,98531,3603302057
staystudio6 ROCK SPRINGS,2615 COMMERCIAL WAY,ROCK SPRINGS,WY,82901,3073621850
staystudio6 RIVERSIDE WEST - JURUPA VALLEY,6830 VALLEY WAY,JURUPA VALLEY,CA,92509,9092698521
staystudio6 CASPER,1150 WILKINS CIRCLE,CASPER,WY,82601,3072123031
staystudio6 PORTLAND EAST - TROUTDALE,1610 NW FRONTAGE RD,TROUTDALE,OR,97060,5036652254
staystudio6 CORPUS CHRISTI EAST - NORTH PADRE ISLAND,8202 S PADRE ISLAND DR,CORPUS CHRISTI,TX,78412,3619918858
staystudio6 JACKSONVILLE - ORANGE PARK,6107 YOUNGERMAN CIRCLE,JACKSONVILLE,FL,32244,9047776100
staystudio6 EUGENE NORTH - SPRINGFIELD,3752 INTERNATIONAL CT,SPRINGFIELD,OR,97477,5417411105
staystudio6 DENVER - THORNTON,6 W 83RD PL,THORNTON,CO,80221,3034291550
